name,age,nationality,team,mascot,position,games_played,goals,assists,points
Kevin Klein,33,CAN,NYR,rangers,D,60,3,11,14
Chris Kreider,26,USA,NYR,rangers,LW/C,75,28,25,53
Oscar Lindberg,26,SWE,NYR,rangers,C,65,8,12,20
Ryan McDonagh,28,USA,NYR,rangers,D,77,6,36,42
J.T. Miller,24,USA,NYR,rangers,LW/RW/C,82,22,34,56
Rick Nash,33,CAN,NYR,rangers,RW/LW,67,23,15,38
Cristoval Nieves,23,USA,NYR,rangers,C/LW,1,0,0,0
Riley Nash,28,CAN,BOS,bruins,C/RW,81,7,10,17
Brandon Pirri,26,CAN,NYR,rangers,RW/LW/C,60,8,10,18
Brady Skjei,23,USA,NYR,rangers,D,80,5,34,39
Marc Staal,30,CAN,NYR,rangers,D,72,3,7,10
Derek Stepan,27,USA,NYR,rangers,C,81,17,38,55
Jimmy Vesey,24,USA,NYR,rangers,LW,80,16,11,27
Mika Zibanejad,24,SWE,NYR,rangers,C/RW,56,14,23,37
Mats Zuccarello,30,NOR,NYR,rangers,RW/C/LW,80,15,44,59
Matt Puempel,24,CAN,NYR/OTT,rangers,LW,40,6,3,9
Casey Bailey,26,USA,OTT,senators,RW/C,7,0,0,0
Mike Blunden,31,CAN,OTT,senators,RW,2,0,0,0
Mark Borowiecki,28,CAN,OTT,senators,D,70,1,2,3
Derick Brassard,30,CAN,OTT,senators,C,81,14,25,39
Cody Ceci,24,CAN,OTT,senators,D,79,2,15,17
Stefan Noesen,24,USA,ANA/N.J,ducks,RW,44,8,2,10
Thomas Chabot,20,CAN,OTT,senators,D,1,0,0,0
Fredrik Claesson,25,SWE,OTT,senators,D,33,3,8,11
Chris Didomenico,28,CAN,OTT,senators,C/RW,3,0,0,0
Ryan Dzingel,25,USA,OTT,senators,LW/RW/C,81,14,18,32
Andreas Englund,21,SWE,OTT,senators,D,5,0,0,0
Ben Harpur,22,CAN,OTT,senators,D,6,0,0,0
Mike Hoffman,28,CAN,OTT,senators,LW/C,74,26,35,61
Erik Karlsson,27,SWE,OTT,senators,D,77,17,54,71
Chris Kelly,37,CAN,OTT,senators,C/LW,82,5,7,12
Clarke MacArthur,32,CAN,OTT,senators,LW,4,0,0,0
Max McCormick,25,USA,OTT,senators,RW/LW/C,7,0,0,0
Rob O'Gara,24,USA,BOS,bruins,D,3,0,0,0
Marc Methot,32,CAN,OTT,senators,D,68,0,12,12
Chris Neil,38,CAN,OTT,senators,RW,53,1,3,4
Jean-Gabriel Pageau,25,CAN,OTT,senators,C,82,12,21,33
Nick Paul,22,CAN,OTT,senators,LW/C,1,0,0,0
Dion Phaneuf,32,CAN,OTT,senators,D,81,9,21,30
Tom Pyatt,30,CAN,OTT,senators,LW/C,82,9,14,23
Buddy Robinson,26,USA,OTT,senators,RW,4,0,0,0
Bobby Ryan,30,USA,OTT,senators,RW/LW,62,13,12,25
Zack Smith,29,CAN,OTT,senators,C,74,16,16,32
Mark Stone,25,CAN,OTT,senators,RW,71,22,32,54
Kyle Turris,28,CAN,OTT,senators,C,78,27,28,55
Phil Varone,27,CAN,OTT,senators,C,7,0,0,0
Colin White,20,USA,OTT,senators,C/D,2,0,0,0
Chris Wideman,27,USA,OTT,senators,D,76,5,12,17
Tommy Wingels,29,USA,OTT/S.J,senators,C/RW/LW,73,7,5,12
Alex Burrows,36,CAN,OTT/VAN,senators,LW/RW,75,15,16,31
Pierre-Edouard Bellemare,32,FRA,PHI,flyers,LW/C,82,4,4,8
Nick Cousins,24,CAN,PHI,flyers,C/LW,60,6,10,16
Sean Couturier,25,USA,PHI,flyers,C,66,14,20,34
Michael Del Zotto,27,CAN,PHI,flyers,D,51,6,12,18
Claude Giroux,29,CAN,PHI,flyers,C/RW,82,14,44,58
Boyd Gordon,34,CAN,PHI,flyers,C/RW,13,1,0,1
Shayne Gostisbehere,24,USA,PHI,flyers,D,76,7,32,39
Radko Gudas,27,CZE,PHI,flyers,D,67,6,17,23
Robert Hagg,22,SWE,PHI,flyers,D,1,0,0,0
Travis Konecny,20,CAN,PHI,flyers,C/LW,70,11,17,28
Scott Laughton,23,CAN,PHI,flyers,C/LW,2,0,0,0
Taylor Leier,23,CAN,PHI,flyers,LW,10,1,1,2
David Pastrnak,21,CZE,BOS,bruins,RW/LW,75,34,36,70
Roman Lyubimov,25,RUS,PHI,flyers,LW,47,4,2,6
Andrew MacDonald,31,CAN,PHI,flyers,D,73,2,16,18
Brandon Manning,27,CAN,PHI,flyers,D,65,3,9,12
Colin McDonald,33,USA,PHI,flyers,RW/C,3,1,0,1
Samuel Morin,22,CAN,PHI,flyers,D,1,0,0,0
Ivan Provorov,20,RUS,PHI,flyers,D,82,6,24,30
Brendan Perlini,21,GBR,ARI,coyotes,LW,57,14,7,21
Michael Raffl,29,AUT,PHI,flyers,LW/C,52,8,3,11
Matt Read,31,CAN,PHI,flyers,RW/LW,63,10,9,19
Corey Perry,32,CAN,ANA,ducks,RW,82,19,34,53
Brayden Schenn,26,CAN,PHI,flyers,C/LW,79,25,30,55
Nick Schultz,35,CAN,PHI,flyers,D,28,0,4,4
Wayne Simmonds,29,CAN,PHI,flyers,RW/LW,82,31,23,54
Chris VandeVelde,30,USA,PHI,flyers,C/LW,81,6,9,15
Mike Vecchione,24,USA,PHI,flyers,C/RW,2,0,0,0
Jakub Voracek,28,CZE,PHI,flyers,RW,82,20,41,61
Jordan Weal,25,CAN,PHI,flyers,C/LW,23,8,4,12
Dale Weise,29,CAN,PHI,flyers,RW,64,8,7,15
Mark Streit,40,CHE,PHI/PIT,flyers,D,68,6,21,27
Valtteri Filppula,33,FIN,PHI/T.B,flyers,C/LW,79,12,30,42
Josh Archibald,25,CAN,PIT,penguins,RW,10,3,0,3
Nick Bonino,29,USA,PIT,penguins,C,80,18,19,37
Ian Cole,28,USA,PIT,penguins,D,81,5,21,26
Sidney Crosby,30,CAN,PIT,penguins,C,75,44,45,89
Matt Cullen,41,USA,PIT,penguins,C/LW,72,13,18,31
Trevor Daley,34,CAN,PIT,penguins,D,56,5,14,19
Jean-Sebastien Dea,23,CAN,PIT,penguins,C,1,0,0,0
Brian Dumoulin,26,USA,PIT,penguins,D,70,1,14,15
Cameron Gaunce,27,CAN,PIT,penguins,D,12,1,3,4
Jake Guentzel,23,USA,PIT,penguins,C/LW,40,16,17,33
Carl Hagelin,29,SWE,PIT,penguins,LW,61,6,16,22
Patric Hornqvist,30,SWE,PIT,penguins,RW,70,21,23,44
Phil Kessel,30,USA,PIT,penguins,RW/C,82,23,47,70
Tom Kuhnhackl,25,DEU,PIT,penguins,RW,57,4,12,16
Teemu Pulkkinen,25,FIN,ARI/MIN,coyotes,LW,13,2,0,2
Chris Kunitz,38,CAN,PIT,penguins,LW,71,9,20,29
Kris Letang,30,CAN,PIT,penguins,D,41,5,29,34
Olli Maatta,23,FIN,PIT,penguins,D,55,1,6,7
Evgeni Malkin,31,RUS,PIT,penguins,C/RW,62,33,39,72
Steve Oleksy,31,USA,PIT,penguins,D,11,0,1,1
Kevin Porter,31,USA,PIT,penguins,C,2,0,0,0
Derrick Pouliot,23,CAN,PIT,penguins,D,11,0,0,0
